season,monica and chandler's apartment_correlation,central perk_correlation,joey's apartment_correlation,ross's apartment_correlation,the hallway_correlation,phoebe's apartment_correlation,a restaurant_correlation,ross and rachel's apartment_correlation,rachel's office_correlation,the hospital_correlation,ross_correlation,chandler_correlation,joey_correlation,rachel_correlation,monica_correlation,phoebe_correlation
1.0,0.052445866734850854,-0.4289582287265975,0.04723995628605081,0.23456418223116007,-0.09623574141604571,,0.047921643486349495,,,0.26391903779552983,0.12083737168240266,-0.22048738540594853,0.39183383767787616,0.20934661588857953,-0.39724721441966093,0.019168993055191083
2.0,-0.14054162865691525,0.30735014421491885,0.2712284651849366,-0.31834963904829233,,,-0.2865200502258201,,,,0.11993767310757737,0.10122243884852447,-0.06594905425246943,-0.063389056785511,0.14308199490562967,-0.4058376399224792
3.0,0.39440479806547724,-0.33495202154102277,-0.07610623102935198,,0.3537955326900352,-0.14272185892355901,-0.0001564578033975215,,-0.2512722136020675,,0.3838245692012316,-0.1305540510541053,-0.3715725049806004,0.0698610708192853,0.19479282547173257,-0.2522734426508454
4.0,0.3610132591423503,-0.32853475697065454,-0.01648882443208941,-0.23195658743136302,-0.15875881673865572,,-0.5888568291250846,,-0.24056580632779398,,-0.14473001989095607,0.15153624737675897,0.17295114508509798,-0.49356799920524913,0.23040663398810396,0.24109814318604758
5.0,0.3093547256686135,-0.36055481189084976,-0.26760535483745984,-0.302687721348151,0.5888303511183753,,-0.11922623271356134,,,0.13542137267459398,-0.09757675396420629,0.24853608999510327,-0.41730371794855387,0.2597285297897516,0.04044734592810105,0.11855605994754942
6.0,0.23577370143802284,0.0472361875643183,-0.46899017792402636,-0.036234467350238615,0.3760771085393459,-0.24975510508702492,0.2318789469511098,0.012973821439259889,0.01297382143925987,0.01297382143925989,0.13851845973582078,-0.12653220604142384,-0.2689435603892594,0.09995724590183973,0.16483979952701788,-0.017361860486235604
7.0,-0.2280666401055186,-0.28023825159352056,0.4305019551657597,0.006659714573242752,-0.0871902623726087,0.24424756432990521,0.16418440103073054,,-0.3857734483436976,,0.11518864063717216,-0.348063944146704,0.2316251409676729,0.047437758927113646,-0.14586743305279418,0.07192970208281646
8.0,0.3725447561046557,-0.5660856810975462,-0.22136010878702375,0.10739582343372558,0.16242884962038182,-0.14509605324342237,-0.006018168814244271,-0.2003426338664607,-0.16234224856964724,0.1763967909651962,0.25066980461772503,-0.1745199023726612,-0.3961340280275261,0.19233627490870858,0.32966101185951857,-0.07741887341542292
9.0,0.020782719244887428,-0.23611532809287164,-0.20856305596377986,0.1602198302339849,,0.16312201467908563,0.18840799562527563,0.29569645868725897,-0.22222481535288974,0.2705345578209083,0.4619677499511521,-0.5077960147790174,0.3522403389924076,0.08149737785912849,-0.19283084675099524,0.0096893427334918
10.0,0.037333422811827686,-0.18154987554448399,0.08078584779417149,-0.0781567055148712,,-0.2747546915447276,-0.17772467946607648,,,0.572890396241406,0.17746675681721505,0.11553460378404047,0.22224249428147935,-0.4539680382662124,-0.02254090847348689,0.12614193072369773
All,0.1631635034602754,-0.22747319223947474,0.0013720051962737437,-0.07060750565237701,0.11763190346955688,-0.05000450732162914,0.01408661112456119,-0.034343271475485826,-0.14790738786422608,0.13237289321263077,0.10628281502864181,-0.0688528029155938,-0.04966169733215032,-0.04140182546452205,0.03864238321081986,-0.01943390871262257
